Tweet ID,Text,Created At,Views,Likes,Retweets,Replies,Quotes
1881819385142366292,Im coming back to Argentina🇦🇷 https://t.co/juIV6bLcLR,Tue Jan 21 21:41:18 +0000 2025,11104992,216451,4123,2062,666
1881752357924688036,https://t.co/W4tMNOY3kW,Tue Jan 21 17:14:58 +0000 2025,1560962,2440,60,36,9
1881752334952538298,NOW LIVE IN ARGENTINA 🇦🇷😱 https://t.co/bPOA4rWLRV,Tue Jan 21 17:14:52 +0000 2025,3803881,93807,2255,780,421
1877827443819528273,https://t.co/2bM0s8nasa,Fri Jan 10 21:18:45 +0000 2025,1716980,2716,74,66,2
1877764124693668061,"SOUTH AMERICA. 

LIVE 01/12 2PM EST https://t.co/9f1AM4oIAK",Fri Jan 10 17:07:09 +0000 2025,10081,122646,4705,3085,4215
1876042324649877707,https://t.co/pBdvDR1F4Z,Sun Jan 05 23:05:20 +0000 2025,1013691,1077,34,33,0
1876042237441880332,TOMORROW I WILL BEAT RD2!!! https://t.co/vDfV6vbKNo,Sun Jan 05 23:04:59 +0000 2025,4895974,77826,2181,737,307
1873617282079101167,WE GOT A WIN IN FORTNITE! https://t.co/JrRggArzBQ,Mon Dec 30 06:29:04 +0000 2024,5823630,195551,4544,1177,108
1872749457978343594,https://t.co/TsMfpvCXpY,Fri Dec 27 21:00:39 +0000 2024,656712,703,16,21,0
1872749402777067903,NOW LIVE NOT ENDING UNTIL WE WIN❗️ https://t.co/qFTcYSsVQA,Fri Dec 27 21:00:26 +0000 2024,1685031,42962,1537,440,105
1872749402777067903,NOW LIVE NOT ENDING UNTIL WE WIN❗️ https://t.co/qFTcYSsVQA,Fri Dec 27 21:00:26 +0000 2024,1685031,42962,1537,440,105
1865636791925317854,STREAMER OF THE YEAR😁 https://t.co/xyvZ6GtsvE,Sun Dec 08 05:57:27 +0000 2024,6132062,248889,10168,2543,468
1858724973546008862,https://t.co/y3BHWdOGOn,Tue Nov 19 04:12:21 +0000 2024,2566,1223,51,81,2
1858723756463833444,"NOVERMBER 21st LIVE BE THERE! 

HERE WE COME🇦🇺🇳🇿 https://t.co/KnSZQwes83",Tue Nov 19 04:07:31 +0000 2024,2214888,31618,1104,867,308
1853864923442339865,⚡️x 🇫🇷 Pogba https://t.co/9ZAztOvUlJ,Tue Nov 05 18:20:15 +0000 2024,3294457,157386,5198,810,103
1851020806450745662,u deserved it bro 💔 https://t.co/41u6EDI33U,Mon Oct 28 21:58:45 +0000 2024,19054881,693693,40638,3705,928
1850973794355286089,LIVE NOW AT BALLON DOR🏆!!!! https://t.co/PPimVHN9EE,Mon Oct 28 18:51:56 +0000 2024,1986135,75494,1675,800,106
1843389399297630358,https://t.co/2mx86zSJ2T,Mon Oct 07 20:34:15 +0000 2024,926799,1582,51,61,3
1843384374412337431,BREAKING THE RECORD FOR MOST BACKFLIPS IN 24 HOURS. TOMORROW https://t.co/PQ8R2YAC4Z,Mon Oct 07 20:14:17 +0000 2024,10828945,50201,1715,1132,336
1836395400892420554,I LOVE YALL INDONESIA MY BIGGEST STREAM EVER🇮🇩🫶🏽 https://t.co/YocMIlYQ1R,Wed Sep 18 13:22:36 +0000 2024,21037416,397802,31572,5076,3311
1834236060349669784,Manny Paquiao🇵🇭💪🏽 https://t.co/t0IHjPqmIw,Thu Sep 12 14:22:09 +0000 2024,10219649,294537,14369,1908,890
1832327622832922896,"let’s goooo turn me up!!!! 
SEPTEMBER 9TH BE THERE https://t.co/IXrb6uxicO",Sat Sep 07 07:58:42 +0000 2024,7119643,136604,10804,2658,2740
1826551538476573038,WE BEAT MINECRAFT HARDCORE! https://t.co/SkZJEm4G8x,Thu Aug 22 09:26:37 +0000 2024,6633830,172936,5800,1775,330
1819855552706478221,i just jumped over 2 cars ong😁😁 https://t.co/EXDdEH3mge,Sat Aug 03 21:59:09 +0000 2024,19736216,260832,13629,3772,2295
1816522599603798402,i just jumped over a car it was so scary 😆 https://t.co/MNchIaUg2W,Thu Jul 25 17:15:11 +0000 2024,57045643,590560,36878,8662,10248
1812601973423632668,😂😂😂😂😂😂😂😂😂😂,Sun Jul 14 21:36:01 +0000 2024,14186844,380622,14497,1501,157
