Video ID,Video Title,Comment ID,Author,Published Time,Likes,Comment Text
Mw096sNXh9w,iShowSpeed vs CHEESE ROLLING,UgyW2EJ6E-QLboBjvFl4AaABAg,@OfficialTD_Duncan,1 year ago,314,1:37 is a group of famous Swedish youtubers
Mw096sNXh9w,iShowSpeed vs CHEESE ROLLING,UgwqGrp8u7Tq7XerUNx4AaABAg,@JennieEditsM,1 year ago,142,For the people wondering - this video is filmed after Amy left. You can see his phone case at 0:26 and his bracelet from Amy at 3:12
Mw096sNXh9w,iShowSpeed vs CHEESE ROLLING,Ugzo6f_P9refDPBMzeV4AaABAg,@EtherFaumalo,1 month ago,4,The fact we saw a another YouTuber compete 2:58
Mra9vzMrtsw,iShowSpeed’s Life In Korea🇰🇷🇰🇵,UgxlmmEK_70DjdVeEYh4AaABAg,@gabkigab,1 year ago,4.6K,thank you korea🇰🇷🇰🇷
Mra9vzMrtsw,iShowSpeed’s Life In Korea🇰🇷🇰🇵,Ugw2HsP9Tb82sx-OOiB4AaABAg,@MikuBoss123,1 year ago,1.2K,The whole korean arc was so good all the streams were top tier W Speed
Mra9vzMrtsw,iShowSpeed’s Life In Korea🇰🇷🇰🇵,UgyR9TeF0_ky9GradVt4AaABAg,@w1nt3r,1 year ago,245,"한국편 진짜 재밌게 봤습니다
W Speed in KR"
Mra9vzMrtsw,iShowSpeed’s Life In Korea🇰🇷🇰🇵,UgwqGxgtag-GTadg83d4AaABAg,@dewaananta6546,7 months ago,124,2:29 North Korea timee 💀
Mra9vzMrtsw,iShowSpeed’s Life In Korea🇰🇷🇰🇵,UgyRaT1py1hE0BAM7Ch4AaABAg,@mbodanholl,1 year ago,893,한국에서 좋은 추억 많이 쌓고 가서 너무 좋네요 스피드 화이팅🎉
Mra9vzMrtsw,iShowSpeed’s Life In Korea🇰🇷🇰🇵,Ugws0sNepmMG-pwm9H14AaABAg,@Sahir_Here,1 year ago,483,South Korea is lit as hell. Hopefully this energy follows to other countries you visit to 🙏🏻
Mra9vzMrtsw,iShowSpeed’s Life In Korea🇰🇷🇰🇵,UgxLzx0-ZLsrKGtFD5x4AaABAg,@joshycpt,1 year ago,405,all the korea irl streams were so entertaining and enjoyable to watch
